Test Dataset,Model Folder,Model Type,Best Metric,Model,Accuracy,Male Accuracy,Female Accuracy,Gender Disparity
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,76.70967864990234,89.96138996138995,63.38939197930142,26.571997982088533
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,76.06452178955078,88.54568854568855,63.518758085381634,25.026930460306914
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,77.29032897949219,82.4967824967825,72.0569210866753,10.439861410107198
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_3_balanced_best.pth,77.29032897949219,75.93307593307593,78.65459249676586,2.7215165636899314
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,77.54839324951172,88.67438867438867,66.36481241914618,22.30957625524249
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,77.54839324951172,88.67438867438867,66.36481241914618,22.30957625524249
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_1_balanced_best.pth,76.70967864990234,69.36936936936937,84.08796895213455,14.71859958276518
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_5_balanced_best.pth,76.70967864990234,71.04247104247105,82.40620957309184,11.363738530620793
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,79.74193572998047,82.62548262548263,76.84346701164296,5.782015613839675
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,79.74193572998047,82.62548262548263,76.84346701164296,5.782015613839675
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,79.03225708007812,79.02187902187903,79.04269081500647,0.020811793127435863
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,79.03225708007812,79.02187902187903,79.04269081500647,0.020811793127435863
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,80.45161437988281,83.52638352638353,77.36093143596378,6.165452090419748
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,80.45161437988281,83.52638352638353,77.36093143596378,6.165452090419748
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_1_balanced_best.pth,81.35484313964844,77.34877734877735,85.38163001293661,8.032852664159265
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_9_balanced_best.pth,81.35484313964844,80.6949806949807,82.01811125485123,1.3231305598705347
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,79.48387145996094,87.77348777348777,71.15135834411385,16.622129429373928
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,79.48387145996094,87.77348777348777,71.15135834411385,16.622129429373928
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_9_balanced_best.pth,82.38710021972656,81.33848133848134,83.44113842173351,2.1026570832521685
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_2_balanced_best.pth,80.19355010986328,79.79407979407979,80.59508408796894,0.8010042938891502
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,79.74193572998047,86.87258687258688,72.57438551099612,14.298201361590756
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,79.74193572998047,86.87258687258688,72.57438551099612,14.298201361590756
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.6,Balanced,Accuracy,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_1_balanced_best.pth,81.0967788696289,82.23938223938224,79.94825355756791,2.291128681814328
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.6,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_10_balanced_best.pth,80.12903594970703,80.3088803088803,79.94825355756791,0.3606267513123953
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.6,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,79.8709716796875,90.09009009009009,69.59896507115135,20.49112501893873
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,79.29032135009766,86.10038610038609,72.44501940491591,13.655366695470178
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.9,Balanced,Accuracy,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_6_balanced_best.pth,82.00000762939453,84.16988416988417,79.81888745148771,4.350996718396459
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.9,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_10_balanced_best.pth,80.7741928100586,82.23938223938224,79.30142302716689,2.937959212215347
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.9,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,80.83870697021484,90.34749034749036,71.28072445019404,19.06676589729632
East_Asian_Validation,bias_training_data\bias_Unlabeled_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,79.03225708007812,87.64478764478764,70.3751617076326,17.26962593715504
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_0.6\Controlled_Bias_0.6_4_balanced_best.pth,82.19355010986328,89.44658944658944,74.90297542043984,14.543614026149598
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_0.6\Controlled_Bias_0.6_2_balanced_best.pth,81.41935729980469,81.85328185328186,80.98318240620958,0.8700994470722776
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_0.9\Controlled_Bias_0.9_5_balanced_best.pth,81.35484313964844,85.71428571428571,76.97283311772316,8.741452596562553
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_0.9\Controlled_Bias_0.9_3_balanced_best.pth,79.80644989013672,79.66537966537966,79.94825355756791,0.282873892188249
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_0.6\Controlled_Bias_0.6_4_balanced_best.pth,77.2258071899414,93.30759330759332,61.0608020698577,32.24679123773562
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_0.6\Controlled_Bias_0.6_3_balanced_best.pth,77.0967788696289,92.7927927927928,61.3195342820181,31.4732585107747
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,79.2258071899414,88.93178893178893,69.46959896507116,19.462189966717773
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,79.2258071899414,88.93178893178893,69.46959896507116,19.462189966717773
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,74.33534240722656,88.33922261484098,58.221092757306224,30.118129857534754
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,74.33534240722656,88.33922261484098,58.221092757306224,30.118129857534754
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,75.61148071289062,80.96289752650176,69.4536213468869,11.509276179614858
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,75.29244995117188,74.82332155477032,75.83227445997458,1.0089529052042678
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,76.62767028808594,91.47526501766784,59.54256670902161,31.93269830864623
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,76.62767028808594,91.47526501766784,59.54256670902161,31.93269830864623
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,77.52569580078125,87.10247349823321,66.50571791613723,20.59675558209598
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,76.1668472290039,81.02915194346289,70.57179161372301,10.457360329739885
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_9_balanced_best.pth,76.78128051757812,78.53356890459364,74.76493011435832,3.7686387902353147
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_7_balanced_best.pth,75.9305191040039,75.8613074204947,76.01016518424396,0.14885776374926252
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,75.00886535644531,92.13780918727916,55.29860228716645,36.83920690011271
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,74.8788833618164,91.87279151943464,55.32401524777637,36.54877627165827
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_3_balanced_best.pth,77.76201629638672,80.01325088339223,75.1715374841169,4.841713399275335
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_6_balanced_best.pth,77.27755737304688,76.98763250883393,77.61118170266836,0.6235491938344353
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,75.88325500488281,90.1060070671378,59.51715374841169,30.58885331872611
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,75.88325500488281,90.1060070671378,59.51715374841169,30.58885331872611
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_5_balanced_best.pth,75.69419860839844,71.75353356890459,80.2287166454892,8.475183076584614
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_5_balanced_best.pth,75.69419860839844,71.75353356890459,80.2287166454892,8.475183076584614
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,78.1874008178711,87.5220848056537,67.44599745870394,20.076087346949762
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,78.1874008178711,87.5220848056537,67.44599745870394,20.076087346949762
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,78.47098541259766,81.62544169611307,74.84116899618806,6.784272699925012
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_7_balanced_best.pth,76.71038818359375,77.8047703180212,75.45108005082592,2.353690267195276
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,78.44735717773438,87.34540636042402,68.20838627700128,19.13702008342274
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,78.44735717773438,87.34540636042402,68.20838627700128,19.13702008342274
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_1_balanced_best.pth,79.0854263305664,81.38250883392226,76.44218551461245,4.940323319309812
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_8_balanced_best.pth,78.96726989746094,79.7482332155477,78.06861499364676,1.6796182219009381
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,78.02198028564453,90.12809187279152,64.09148665819569,26.036605214595824
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,77.75020599365234,88.75883392226149,65.0825921219822,23.676241800279286
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_9_balanced_best.pth,79.22721862792969,84.20936395759718,73.49428208386277,10.715081873734405
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_2_balanced_best.pth,78.53007507324219,82.02296819787986,74.51080050825921,7.512167689620654
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,78.55370330810547,89.28886925795054,66.2007623888183,23.088106869132233
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,78.55370330810547,89.28886925795054,66.2007623888183,23.088106869132233
Balanced_Validation,bias_training_data\bias_Unlabeled_0.6,Balanced,Accuracy,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_1_balanced_best.pth,78.99089813232422,82.1113074204947,75.4002541296061,6.7110532908886
Balanced_Validation,bias_training_data\bias_Unlabeled_0.6,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_6_balanced_best.pth,78.23466491699219,79.85865724381625,76.36594663278272,3.49271061103353
Balanced_Validation,bias_training_data\bias_Unlabeled_0.6,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,78.44735717773438,89.90724381625441,65.26048284625159,24.646760970002816
Balanced_Validation,bias_training_data\bias_Unlabeled_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,78.44735717773438,89.90724381625441,65.26048284625159,24.646760970002816
Balanced_Validation,bias_training_data\bias_Unlabeled_0.9,Balanced,Accuracy,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_6_balanced_best.pth,79.34538269042969,83.32597173144876,74.76493011435832,8.561041617090439
Balanced_Validation,bias_training_data\bias_Unlabeled_0.9,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_6_balanced_best.pth,79.34538269042969,83.32597173144876,74.76493011435832,8.561041617090439
Balanced_Validation,bias_training_data\bias_Unlabeled_0.9,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,78.56552124023438,89.39929328621908,66.09911054637865,23.300182739840423
Balanced_Validation,bias_training_data\bias_Unlabeled_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,78.56552124023438,89.39929328621908,66.09911054637865,23.300182739840423
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,78.86092376708984,84.96024734982332,71.84243964421854,13.117807705604775
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_0.6\Controlled_Bias_0.6_2_balanced_best.pth,78.4237289428711,83.12720848056537,73.01143583227446,10.115772648290914
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_0.9\Controlled_Bias_0.9_2_balanced_best.pth,79.27449035644531,83.70141342756183,74.18043202033037,9.52098140723146
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_0.9\Controlled_Bias_0.9_3_balanced_best.pth,77.93926239013672,80.27826855123675,75.24777636594663,5.0304921852901145
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_0.6\Controlled_Bias_0.6_6_balanced_best.pth,75.8123550415039,90.83480565371023,58.52604828462516,32.30875736908507
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_0.6\Controlled_Bias_0.6_6_balanced_best.pth,75.8123550415039,90.83480565371023,58.52604828462516,32.30875736908507
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,77.27755737304688,87.78710247349824,65.18424396442185,22.602858509076384
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_0.9\Controlled_Bias_0.9_1_balanced_best.pth,77.27755737304688,87.78710247349824,65.18424396442185,22.602858509076384
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_4_balanced_best.pth,69.03724670410156,97.22662440570524,40.847860538827256,56.37876386687798
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_4_balanced_best.pth,69.03724670410156,97.22662440570524,40.847860538827256,56.37876386687798
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,79.08082580566406,87.00475435816165,71.15689381933439,15.847860538827263
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,79.08082580566406,87.00475435816165,71.15689381933439,15.847860538827263
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,71.63233184814453,99.16798732171156,44.09667194928685,55.07131537242471
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,71.63233184814453,99.16798732171156,44.09667194928685,55.07131537242471
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,77.06022644042969,93.85895404120444,60.26148969889065,33.59746434231379
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,77.06022644042969,93.85895404120444,60.26148969889065,33.59746434231379
