Dataset,Model Folder,Model Type,Best Metric,Model,Accuracy,Male Accuracy,Female Accuracy,Gender Disparity
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,63.74193954467773,79.66537966537966,47.73609314359638,31.929286521783283
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,31.67742156982422,43.886743886743886,19.404915912031047,24.48182797471284
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_best.pth,59.096778869628906,29.343629343629345,89.0038809831824,59.66025163955305
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_3_best.pth,39.48387145996094,32.04633204633205,46.95989650711513,14.913564460783086
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_unbalanced_best.pth,54.32258224487305,12.226512226512224,96.63648124191462,84.4099690154024
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_unbalanced_best.pth,34.967742919921875,14.8005148005148,55.23932729624838,40.438812495733586
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_best.pth,47.48387145996094,80.3088803088803,14.489003880983182,65.81987642789713
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_4_best.pth,42.58064651489258,65.12226512226512,19.922380336351875,45.19988478591324
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,57.8709716796875,90.34749034749036,25.22639068564036,65.12109966185
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,38.45161437988281,24.195624195624195,52.78137128072446,28.585747085100262
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_1_best.pth,57.4838752746582,88.67438867438867,26.13195342820181,62.542435246186855
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_1_best.pth,57.4838752746582,88.67438867438867,26.13195342820181,62.542435246186855
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_2_best.pth,65.67742156982422,85.07078507078506,46.183699870633895,38.88708520015117
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_3_best.pth,29.48387336730957,33.59073359073359,25.35575679172057,8.234976799013022
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_best.pth,70.25877380371094,94.56713780918729,42.287166454892,52.279971354295284
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_4_best.pth,67.93099212646484,56.735865724381625,80.81321473951716,24.07734901513554
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,63.29906463623047,85.84363957597174,37.35705209656925,48.48658747940249
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,25.86553192138672,10.048586572438165,44.066073697585765,34.017487125147596
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_best.pth,72.55110168457031,64.77473498233216,81.49936467598475,16.724629693652588
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_best.pth,72.55110168457031,64.77473498233216,81.49936467598475,16.724629693652588
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,79.3217544555664,78.64399293286219,80.10165184243965,1.4576589095774608
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,79.3217544555664,78.64399293286219,80.10165184243965,1.4576589095774608
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_5_best.pth,58.560794830322266,26.06007067137809,95.95933926302416,69.89926859164608
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_4_best.pth,57.79273986816406,54.77031802120141,61.27064803049556,6.500330009294146
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,60.93583679199219,64.8851590106007,56.39135959339263,8.493799417208074
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,60.93583679199219,64.8851590106007,56.39135959339263,8.493799417208074
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_best.pth,62.24743270874024,83.70141342756183,37.56035578144854,46.14105764611329
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_5_best.pth,45.137657165527344,34.89399293286219,56.92503176620076,22.03103883333857
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_unbalanced_best.pth,66.64303588867188,78.35689045936395,53.163913595933934,25.19297686343002
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_unbalanced_best.pth,66.64303588867188,78.35689045936395,53.163913595933934,25.19297686343002
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_best.pth,65.46141815185547,69.85424028268551,60.40660736975858,9.447632912926927
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_5_best.pth,30.42656135559082,26.325088339222614,35.14612452350699,8.821036184284377
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,54.89779281616211,97.2173144876325,6.200762388818298,91.0165520988142
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,34.47949981689453,24.51413427561837,45.94663278271919,21.43249850710082
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_1_best.pth,69.26622009277344,72.96819787985865,65.00635324015248,7.961844639706172
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_1_best.pth,69.26622009277344,72.96819787985865,65.00635324015248,7.961844639706172
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_1_best.pth,54.07065582275391,22.681095406360424,90.19059720457432,67.50950179821389
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_2_best.pth,34.88124465942383,5.43286219081272,68.76747141041932,63.3346092196066
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_4_best.pth,67.49208068847656,94.92868462757528,40.05546751188589,54.87321711568939
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_best.pth,27.139461517333984,10.974643423137875,43.30427892234548,32.329635499207605
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,48.712364196777344,87.20285261489698,10.22187004754358,76.98098256735341
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,45.44374084472656,59.389857369255154,31.497622820919176,27.892234548335978
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_4_best.pth,83.35974884033203,89.61965134706814,77.09984152139461,12.519809825673534
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_4_best.pth,83.35974884033203,89.61965134706814,77.09984152139461,12.519809825673534
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,79.17987823486328,67.74960380348652,90.61014263074485,22.860538827258324
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,79.17987823486328,67.74960380348652,90.61014263074485,22.860538827258324
AAF_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_best.pth,61.86608505249024,81.10142630744849,42.63074484944532,38.47068145800317
AAF_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_1_best.pth,53.76386642456055,61.45007923930269,46.07765451664025,15.372424722662437
AAF_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,53.40729522705078,29.00158478605388,77.81299524564183,48.81141045958795
AAF_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,37.55943298339844,55.54675118858954,19.572107765451666,35.97464342313788
AAF_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_best.pth,62.916011810302734,52.6148969889065,73.21711568938193,20.602218700475426
AAF_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_best.pth,62.916011810302734,52.6148969889065,73.21711568938193,20.602218700475426
AAF_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_unbalanced_best.pth,54.160064697265625,19.01743264659271,89.3026941362916,70.2852614896989
AAF_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_unbalanced_best.pth,35.835975646972656,6.814580031695722,64.85736925515056,58.04278922345484
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_2_best.pth,71.87005615234375,83.43898573692552,60.30110935023772,23.1378763866878
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_best.pth,45.5824089050293,56.45800316957212,34.7068145800317,21.751188589540426
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,56.04199600219727,76.06973058637084,36.014263074484944,40.055467511885894
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,56.04199600219727,76.06973058637084,36.014263074484944,40.055467511885894
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_5_best.pth,50.45563125610352,99.16798732171156,1.7432646592709984,97.42472266244057
AAF_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_2_best.pth,41.56101608276367,69.21553090332804,13.906497622820918,55.30903328050712
AAF_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_3_best.pth,54.10063934326172,68.50237717908082,39.69889064976228,28.80348652931854
AAF_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_3_best.pth,54.10063934326172,68.50237717908082,39.69889064976228,28.80348652931854
